system:index,DEM,VH,VV,VV_VH_diff,azimuth,center_lat,center_lon,crater_name,date_end,date_start,dem_scale_m,dem_source,distance_m,floor_elevation_m,hillshade,rim_elevation_m,rim_radius_m,slope,.geo
0,480.0,-30.609132766723633,-24.46815299987793,6.140980243682861,0,19.976683055397494,76.50842106901827,"Lonar, Индия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),0,480,180,576.375,892.5,0.0,"{""type"":""Point"",""coordinates"":[76.50842106901827,19.976683055397498]}"
1,480.0,-30.755891799926758,-25.196247100830078,5.559646129608154,0,19.976683055397494,76.50842106901827,"Lonar, Индия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),30,480,180,576.375,892.5,0.0,"{""type"":""Point"",""coordinates"":[76.50842106901827,19.97695445036764]}"
2,480.0,-29.16131019592285,-26.2051944732666,2.9561169147491455,0,19.976683055397494,76.50842106901827,"Lonar, Индия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),60,480,180,576.375,892.5,0.0,"{""type"":""Point"",""coordinates"":[76.50842106901827,19.97722584533779]}"
3,480.0,-30.10440444946289,-25.58205223083496,4.522350311279297,0,19.976683055397494,76.50842106901827,"Lonar, Индия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),90,480,180,576.375,892.5,0.0,"{""type"":""Point"",""coordinates"":[76.50842106901827,19.977497240307933]}"
4,480.0,-29.553447723388672,-24.890384674072266,4.663063049316406,0,19.976683055397494,76.50842106901827,"Lonar, Индия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),120,480,180,576.375,892.5,0.0,"{""type"":""Point"",""coordinates"":[76.50842106901827,19.977768635278082]}"
5,480.0,-28.657487869262695,-25.05935287475586,3.598134994506836,0,19.976683055397494,76.50842106901827,"Lonar, Индия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),150,480,180,576.375,892.5,0.0,"{""type"":""Point"",""coordinates"":[76.50842106901827,19.97804003024823]}"
6,480.0,-29.032100677490234,-25.881629943847656,3.150470018386841,0,19.976683055397494,76.50842106901827,"Lonar, Индия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),180,480,180,576.375,892.5,0.0,"{""type"":""Point"",""coordinates"":[76.50842106901827,19.97831142521837]}"
7,480.0,-29.18515968322754,-25.382461547851562,3.802696943283081,0,19.976683055397494,76.50842106901827,"Lonar, Индия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),210,480,180,576.375,892.5,0.0,"{""type"":""Point"",""coordinates"":[76.50842106901827,19.97858282018852]}"
8,480.0,-30.639455795288086,-25.28700828552246,5.352446556091309,0,19.976683055397494,76.50842106901827,"Lonar, Индия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),240,480,180,576.375,892.5,0.0,"{""type"":""Point"",""coordinates"":[76.50842106901827,19.978854215158666]}"
9,480.0,-29.107421875,-24.935598373413086,4.171823978424072,0,19.976683055397494,76.50842106901827,"Lonar, Индия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),270,480,180,576.375,892.5,0.0,"{""type"":""Point"",""coordinates"":[76.50842106901827,19.97912561012881]}"
10,480.0,-30.394311904907227,-24.9456844329834,5.4486284255981445,0,19.976683055397494,76.50842106901827,"Lonar, Индия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),300,480,180,576.375,892.5,0.0,"{""type"":""Point"",""coordinates"":[76.50842106901827,19.979397005098956]}"
11,480.0,-28.8930721282959,-24.57483673095703,4.318236351013184,0,19.976683055397494,76.50842106901827,"Lonar, Индия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),330,480,180,576.375,892.5,0.0,"{""type"":""Point"",""coordinates"":[76.50842106901827,19.9796684000691]}"
12,480.0,-30.562923431396484,-25.172317504882812,5.390605926513672,0,19.976683055397494,76.50842106901827,"Lonar, Индия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),360,480,180,576.375,892.5,0.0,"{""type"":""Point"",""coordinates"":[76.50842106901827,19.979939795039254]}"
13,480.0,-28.801807403564453,-24.495237350463867,4.3065690994262695,0,19.976683055397494,76.50842106901827,"Lonar, Индия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),390,480,180,576.375,892.5,0.0,"{""type"":""Point"",""coordinates"":[76.50842106901827,19.9802111900094]}"
14,480.0,-29.658723831176758,-24.87928009033203,4.779443740844727,0,19.976683055397494,76.50842106901827,"Lonar, Индия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),420,480,180,576.375,892.5,0.0,"{""type"":""Point"",""coordinates"":[76.50842106901827,19.980482584979544]}"
15,480.0,-30.49675941467285,-24.6970272064209,5.799733638763428,0,19.976683055397494,76.50842106901827,"Lonar, Индия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),450,480,180,576.375,892.5,0.0,"{""type"":""Point"",""coordinates"":[76.50842106901827,19.980753979949693]}"
16,480.0,-29.36919593811035,-24.418264389038086,4.950931072235107,0,19.976683055397494,76.50842106901827,"Lonar, Индия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),480,480,180,576.375,892.5,0.0,"{""type"":""Point"",""coordinates"":[76.50842106901827,19.981025374919838]}"
