system:index,DEM,VH,VV,VV_VH_diff,azimuth,center_lat,center_lon,crater_name,date_end,date_start,dem_scale_m,dem_source,distance_m,floor_elevation_m,hillshade,rim_elevation_m,rim_radius_m,slope,.geo
0,327.0,-27.43694496154785,-21.397397994995117,6.039547443389893,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),0,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.1717922986899]}"
1,327.0,-28.160917282104492,-22.471572875976562,5.689344882965088,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),30,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.171520903719756]}"
2,328.0,-26.35246467590332,-19.47563362121582,6.8768310546875,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),60,327,180,371.6875,457.5,3.0335510020899186,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.171249508749607]}"
3,328.0,-27.56321907043457,-19.714305877685547,7.848913192749023,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),90,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.17097811377946]}"
4,328.0,-27.13215446472168,-22.11798095703125,5.0141730308532715,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),120,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.17070671880931]}"
5,328.0,-26.924800872802734,-20.608808517456055,6.3159918785095215,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),150,327,180,371.6875,457.5,3.0335369718234255,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.17043532383917]}"
6,329.0,-21.481388092041016,-13.157185554504395,8.324201583862305,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),180,327,180,371.6875,457.5,3.033532295286908,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.170163928869016]}"
7,330.0,-20.441747665405273,-12.330765724182129,8.110982894897461,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),210,327,180,371.6875,457.5,3.0335260597159968,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.16989253389887]}"
8,331.0,-19.71976089477539,-13.473339080810547,6.246421813964844,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),240,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.169621138928726]}"
9,331.0,-18.631479263305664,-13.832413673400879,4.799065113067627,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),270,327,180,371.6875,457.5,3.033516706914759,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.169349743958577]}"
10,332.0,-17.668664932250977,-12.357283592224121,5.311382293701172,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),300,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.16907834898843]}"
11,332.0,-17.94571876525879,-12.613107681274414,5.332610130310059,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),330,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.168806954018287]}"
12,334.0,-17.17599105834961,-11.188679695129395,5.987312316894531,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),360,327,180,371.6875,457.5,36.572366886792864,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.168535559048138]}"
13,348.0,-16.563018798828125,-11.216437339782715,5.346581935882568,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),390,327,180,371.6875,457.5,27.920917533861882,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.168264164077993]}"
14,358.0,-15.619338989257812,-9.088031768798828,6.531306743621826,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),420,327,180,371.6875,457.5,32.45339582912585,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.16799276910785]}"
15,370.0,-16.998207092285156,-10.908551216125488,6.08965539932251,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),450,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.1677213741377]}"
16,375.0,-19.41254234313965,-11.522418975830078,7.89012336730957,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),480,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.167449979167557]}"
17,371.0,-19.45964241027832,-14.283754348754883,5.1758880615234375,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),510,327,180,371.6875,457.5,14.840533051615038,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.16717858419741]}"
18,366.0,-21.572526931762695,-15.17065143585205,6.401876449584961,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),540,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.16690718922726]}"
19,367.0,-19.687288284301758,-14.616683959960938,5.0706048011779785,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),570,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.166635794257115]}"
20,368.0,-19.129283905029297,-13.961284637451172,5.167998313903809,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),600,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.16636439928697]}"
21,367.0,-18.653446197509766,-13.555455207824707,5.097990036010742,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),630,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.166093004316824]}"
22,364.0,-19.828975677490234,-14.39192008972168,5.437056064605713,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),660,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.165821609346676]}"
23,363.0,-21.114776611328125,-15.412613868713379,5.7021613121032715,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),690,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.16555021437653]}"
24,362.0,-20.435283660888672,-15.170610427856445,5.264672756195068,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),720,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.16527881940638]}"
25,361.0,-21.70574378967285,-14.600872039794922,7.104872226715088,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),750,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.165007424436233]}"
26,359.0,-21.830867767333984,-16.073673248291016,5.7571940422058105,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),780,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.16473602946609]}"
27,360.0,-23.042491912841797,-15.647919654846191,7.394571304321289,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),810,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.164464634495943]}"
28,360.0,-23.070932388305664,-16.361658096313477,6.709273815155029,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),840,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.164193239525794]}"
29,359.0,-23.592086791992188,-16.911514282226562,6.680572986602783,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),870,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.163921844555652]}"
30,358.0,-24.0356502532959,-16.703134536743164,7.332516670227051,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),900,327,180,371.6875,457.5,3.033412283521906,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.1636504495855]}"
31,358.0,-22.80974006652832,-17.345457077026367,5.464282035827637,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),930,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.163379054615362]}"
32,359.0,-23.72270965576172,-16.471155166625977,7.251554489135742,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),960,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.163107659645213]}"
33,358.0,-23.320566177368164,-15.460797309875488,7.859769344329834,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),990,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.16283626467506]}"
34,357.0,-23.353002548217773,-16.07796859741211,7.2750349044799805,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),1020,327,180,371.6875,457.5,3.0333920258552753,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.16256486970492]}"
35,357.0,-22.967910766601562,-15.600580215454102,7.367331027984619,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),1050,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.162293474734767]}"
36,357.0,-21.923267364501953,-15.848784446716309,6.074482440948486,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),1080,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.162022079764622]}"
37,357.0,-21.193300247192383,-15.463781356811523,5.729518413543701,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),1110,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.161750684794477]}"
38,357.0,-21.235506057739258,-14.264305114746094,6.971199989318848,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),1140,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.16147928982433]}"
39,357.0,-21.27271270751953,-15.137510299682617,6.1352033615112305,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),1170,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.161207894854183]}"
40,356.0,-21.93882942199707,-14.780034065246582,7.158795356750488,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),1200,327,180,371.6875,457.5,3.033362421235095,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.160936499884038]}"
41,356.0,-21.940372467041016,-15.527836799621582,6.41253662109375,0,-19.171792298689898,127.79529592248608,"Wolfe Creek, Австралия",2025-12-31,2023-01-01,10,Copernicus GLO-30 (~30 м),1230,327,180,371.6875,457.5,0.0,"{""type"":""Point"",""coordinates"":[127.79529592248608,-19.16066510491389]}"
