system:index,DEM,VH,VV,VV_VH_diff,azimuth,distance_m,hillshade,slope,.geo
0,1562.0,-27.388200759887695,-17.940216064453125,9.447985649108887,0,0,138,14.14587817591111,"{""type"":""Point"",""coordinates"":[-111.0228,35.027]}"
1,1563.0,-25.0466365814209,-16.384767532348633,8.66186809539795,0,30,128,16.995091694115363,"{""type"":""Point"",""coordinates"":[-111.0228,35.02727139497015]}"
2,1566.0,-20.051942825317383,-14.178417205810547,5.873525619506836,0,60,169,3.4980022304557354,"{""type"":""Point"",""coordinates"":[-111.0228,35.02754278994029]}"
3,1569.0,-27.928272247314453,-17.84551239013672,10.08276081085205,0,90,180,0.0,"{""type"":""Point"",""coordinates"":[-111.0228,35.02781418491044]}"
4,1571.0,-27.760520935058594,-17.494184494018555,10.266336441040039,0,120,191,3.498024210979881,"{""type"":""Point"",""coordinates"":[-111.0228,35.02808557988058]}"
5,1569.0,-27.17723274230957,-16.63382339477539,10.543410301208496,0,150,180,0.0,"{""type"":""Point"",""coordinates"":[-111.0228,35.02835697485073]}"
6,1567.0,-27.598478317260742,-15.410832405090332,12.18764591217041,0,180,169,3.4980493320922865,"{""type"":""Point"",""coordinates"":[-111.0228,35.02862836982088]}"
7,1566.0,-25.831008911132812,-14.646930694580078,11.184077262878418,0,210,180,0.0,"{""type"":""Point"",""coordinates"":[-111.0228,35.02889976479103]}"
8,1567.0,-24.80755043029785,-13.983256340026855,10.824294090270996,0,240,191,3.4980713135148522,"{""type"":""Point"",""coordinates"":[-111.0228,35.02917115976117]}"
9,1571.0,-23.72660255432129,-14.070029258728027,9.656574249267578,0,270,202,6.970282394819074,"{""type"":""Point"",""coordinates"":[-111.0228,35.02944255473132]}"
10,1575.0,-21.378225326538086,-12.108741760253906,9.269484519958496,0,300,191,3.4980932953566852,"{""type"":""Point"",""coordinates"":[-111.0228,35.029713949701474]}"
11,1579.0,-18.8101863861084,-9.827749252319336,8.982437133789062,0,330,169,3.498105856597404,"{""type"":""Point"",""coordinates"":[-111.0228,35.02998534467161]}"
12,1585.0,-16.522151947021484,-9.371330261230469,7.150821685791016,0,360,148,10.391942021177805,"{""type"":""Point"",""coordinates"":[-111.0228,35.03025673964176]}"
13,1594.0,-16.79109764099121,-6.465012073516846,10.326086044311523,0,390,158,6.970375564185587,"{""type"":""Point"",""coordinates"":[-111.0228,35.0305281346119]}"
14,1607.0,-14.93375015258789,-7.631255626678467,7.302494525909424,0,420,158,6.970394198512519,"{""type"":""Point"",""coordinates"":[-111.0228,35.03079952958206]}"
15,1624.0,-15.737383842468262,-8.891807556152344,6.845576763153076,0,450,169,3.498152962469414,"{""type"":""Point"",""coordinates"":[-111.0228,35.031070924552196]}"
16,1643.0,-15.998526573181152,-8.384116172790527,7.614410400390625,0,480,191,3.4981655243604357,"{""type"":""Point"",""coordinates"":[-111.0228,35.03134231952234]}"
17,1658.0,-14.735636711120605,-8.18816089630127,6.547475814819336,0,510,188,42.58285868192219,"{""type"":""Point"",""coordinates"":[-111.0228,35.031613714492494]}"
18,1674.0,-12.602668762207031,-6.147159099578857,6.455509185791016,0,540,169,3.4981875079991562,"{""type"":""Point"",""coordinates"":[-111.0228,35.03188510946264]}"
19,1696.0,-12.157527923583984,-6.987478256225586,5.170050144195557,0,570,169,3.498200070266674,"{""type"":""Point"",""coordinates"":[-111.0228,35.03215650443278]}"
20,1707.0,-16.77182960510254,-8.46902084350586,8.302809715270996,0,600,180,33.91861382394745,"{""type"":""Point"",""coordinates"":[-111.0228,35.032427899402926]}"
21,1708.0,-22.36236572265625,-12.612656593322754,9.74970817565918,0,630,202,7.783755370350995,"{""type"":""Point"",""coordinates"":[-111.0228,35.032699294373074]}"
22,1701.0,-23.298686981201172,-15.512825965881348,7.785860538482666,0,660,180,23.167140349040586,"{""type"":""Point"",""coordinates"":[-111.0228,35.03297068934322]}"
23,1702.0,-26.83574867248535,-17.71514129638672,9.120606422424316,0,690,213,10.94122307579809,"{""type"":""Point"",""coordinates"":[-111.0228,35.03324208431337]}"
24,1706.0,-28.813932418823242,-19.388811111450195,9.425122261047363,0,720,222,19.076166263194875,"{""type"":""Point"",""coordinates"":[-111.0228,35.03351347928352]}"
25,1705.0,-20.547035217285156,-11.615270614624023,8.93176555633545,0,750,213,10.941299954642743,"{""type"":""Point"",""coordinates"":[-111.0228,35.033784874253655]}"
26,1700.0,-18.63132095336914,-10.2471342086792,8.384185791015625,0,780,191,17.313087078137027,"{""type"":""Point"",""coordinates"":[-111.0228,35.03405626922382]}"
27,1696.0,-18.381006240844727,-11.541629791259766,6.839375972747803,0,810,180,13.740933495086765,"{""type"":""Point"",""coordinates"":[-111.0228,35.03432766419397]}"
28,1692.0,-21.541412353515625,-13.15929126739502,8.382121086120605,0,840,170,14.147136873503287,"{""type"":""Point"",""coordinates"":[-111.0228,35.03459905916411]}"
29,1690.0,-22.04393196105957,-11.734756469726562,10.309175491333008,0,870,180,6.970742066159696,"{""type"":""Point"",""coordinates"":[-111.0228,35.03487045413426]}"
30,1690.0,-24.47071075439453,-15.165620803833008,9.30509090423584,0,900,180,0.0,"{""type"":""Point"",""coordinates"":[-111.0228,35.0351418491044]}"
31,1690.0,-25.577152252197266,-16.789337158203125,8.78781509399414,0,930,191,4.941267692119567,"{""type"":""Point"",""coordinates"":[-111.0228,35.03541324407455]}"
32,1687.0,-26.372468948364258,-15.734912872314453,10.637556076049805,0,960,180,6.970810404695913,"{""type"":""Point"",""coordinates"":[-111.0228,35.03568463904468]}"
33,1687.0,-26.955629348754883,-16.71522331237793,10.240407943725586,0,990,180,3.4983602507825293,"{""type"":""Point"",""coordinates"":[-111.0228,35.03595603401484]}"
34,1686.0,-26.1302490234375,-15.607605934143066,10.522643089294434,0,1020,169,3.498372815328613,"{""type"":""Point"",""coordinates"":[-111.0228,35.036227428984986]}"
35,1686.0,-25.50225067138672,-14.221929550170898,11.280320167541504,0,1050,180,0.0,"{""type"":""Point"",""coordinates"":[-111.0228,35.03649882395512]}"
36,1686.0,-26.63702392578125,-14.648371696472168,11.988651275634766,0,1080,191,4.941347353162907,"{""type"":""Point"",""coordinates"":[-111.0228,35.03677021892528]}"
37,1685.0,-26.834949493408203,-16.14322853088379,10.69172191619873,0,1110,191,4.941365056081948,"{""type"":""Point"",""coordinates"":[-111.0228,35.037041613895425]}"
38,1684.0,-27.03535270690918,-16.09981346130371,10.935538291931152,0,1140,191,7.7841913450870965,"{""type"":""Point"",""coordinates"":[-111.0228,35.037313008865574]}"
39,1682.0,-25.103269577026367,-14.942774772644043,10.160494804382324,0,1170,180,0.0,"{""type"":""Point"",""coordinates"":[-111.0228,35.037584403835716]}"
40,1680.0,-24.476478576660156,-14.965181350708008,9.511297225952148,0,1200,180,0.0,"{""type"":""Point"",""coordinates"":[-111.0228,35.037855798805865]}"
41,1680.0,-24.14787483215332,-13.753617286682129,10.394257545471191,0,1230,191,4.941431444280021,"{""type"":""Point"",""coordinates"":[-111.0228,35.03812719377601]}"
42,1679.0,-26.78240203857422,-15.96605396270752,10.816347122192383,0,1260,191,7.7842951587875255,"{""type"":""Point"",""coordinates"":[-111.0228,35.038398588746155]}"
43,1677.0,-27.97553062438965,-17.571924209594727,10.403604507446289,0,1290,180,0.0,"{""type"":""Point"",""coordinates"":[-111.0228,35.0386699837163]}"
44,1674.0,-27.41042137145996,-16.9017391204834,10.508682250976562,0,1320,169,3.498489040207271,"{""type"":""Point"",""coordinates"":[-111.0228,35.03894137868645]}"
45,1673.0,-27.190523147583008,-15.707254409790039,11.483269691467285,0,1350,169,4.941497834839703,"{""type"":""Point"",""coordinates"":[-111.0228,35.039212773656594]}"
46,1674.0,-28.699857711791992,-16.049808502197266,12.650049209594727,0,1380,180,0.0,"{""type"":""Point"",""coordinates"":[-111.0228,35.03948416862674]}"
47,1674.0,-28.463016510009766,-17.299297332763672,11.163719177246094,0,1410,169,3.498523595808729,"{""type"":""Point"",""coordinates"":[-111.0228,35.039755563596884]}"
48,1672.0,-29.91445541381836,-18.346628189086914,11.567829132080078,0,1440,169,3.4985361617387136,"{""type"":""Point"",""coordinates"":[-111.0228,35.04002695856703]}"
49,1671.0,-28.516904830932617,-17.66066551208496,10.85623836517334,0,1470,169,3.4985455862760557,"{""type"":""Point"",""coordinates"":[-111.0228,35.04029835353718]}"
50,1673.0,-28.879566192626953,-17.689664840698242,11.189900398254395,0,1500,180,0.0,"{""type"":""Point"",""coordinates"":[-111.0228,35.04056974850732]}"
51,1562.0,-27.388200759887695,-17.940216064453125,9.447985649108887,45,0,138,14.14587817591111,"{""type"":""Point"",""coordinates"":[-111.0228,35.027]}"
52,1562.0,-27.266075134277344,-17.608461380004883,9.657614707946777,45,30,169,3.4979865300620414,"{""type"":""Point"",""coordinates"":[-111.02256729167851,35.02719190522378]}"
53,1566.0,-27.90644073486328,-16.75705909729004,11.149382591247559,45,60,191,10.940463984182095,"{""type"":""Point"",""coordinates"":[-111.022334583357,35.02738381044754]}"
54,1566.0,-28.35218048095703,-17.786144256591797,10.566036224365234,45,90,180,0.0,"{""type"":""Point"",""coordinates"":[-111.02210187503547,35.027575715671304]}"
55,1565.0,-27.61807632446289,-17.13442611694336,10.483649253845215,45,120,180,0.0,"{""type"":""Point"",""coordinates"":[-111.02186916671398,35.027767620895084]}"
56,1563.0,-26.737531661987305,-17.689411163330078,9.048120498657227,45,150,180,6.970158174193002,"{""type"":""Point"",""coordinates"":[-111.02163645839246,35.027959526118856]}"
57,1563.0,-27.69197654724121,-16.618507385253906,11.073469161987305,45,180,180,3.498027350708798,"{""type"":""Point"",""coordinates"":[-111.02140375007097,35.02815143134263]}"
58,1563.0,-27.54971694946289,-15.589065551757812,11.960651397705078,45,210,191,3.498036771191635,"{""type"":""Point"",""coordinates"":[-111.02117104174944,35.028343336566394]}"
59,1565.0,-25.69236183166504,-14.078052520751953,11.614309310913086,45,240,202,7.783360980596946,"{""type"":""Point"",""coordinates"":[-111.02093833342794,35.028535241790166]}"
60,1568.0,-24.64682960510254,-12.969182014465332,11.677647590637207,45,270,213,12.429383484895752,"{""type"":""Point"",""coordinates"":[-111.02070562510644,35.02872714701394]}"
61,1570.0,-21.60027313232422,-11.27649211883545,10.32378101348877,45,300,202,6.970238916529142,"{""type"":""Point"",""coordinates"":[-111.02047291678493,35.028919052237704]}"
62,1575.0,-20.17947006225586,-11.381084442138672,8.798384666442871,45,330,191,10.940684968331688,"{""type"":""Point"",""coordinates"":[-111.02024020846343,35.029110957461484]}"
63,1582.0,-17.039518356323242,-10.14033317565918,6.899184703826904,45,360,180,20.141706714389333,"{""type"":""Point"",""coordinates"":[-111.0200075001419,35.029302862685256]}"
64,1586.0,-18.961694717407227,-10.461050987243652,8.500643730163574,45,390,220,26.23585831825598,"{""type"":""Point"",""coordinates"":[-111.01977479182041,35.02949476790902]}"
65,1599.0,-19.54622459411621,-11.105605125427246,8.440619468688965,45,420,242,20.14179006297907,"{""type"":""Point"",""coordinates"":[-111.0195420834989,35.02968667313279]}"
66,1606.0,-16.82338523864746,-12.55197811126709,4.271406173706055,45,450,255,34.875810371220325,"{""type"":""Point"",""coordinates"":[-111.01930937517739,35.02987857835656]}"
67,1615.0,-18.038570404052734,-11.18336009979248,6.855210304260254,45,480,255,28.818070463793582,"{""type"":""Point"",""coordinates"":[-111.01907666685587,35.03007048358033]}"
