system:index,DEM,VH,VV,VV_VH_diff,azimuth,distance_m,hillshade,slope,.geo
0,480.0,-29.270069122314453,-25.14975357055664,4.1203155517578125,0,0,180,0.0,"{""type"":""Point"",""coordinates"":[76.50895751082125,19.976602389587804]}"
1,480.0,-29.1025390625,-25.448938369750977,3.6536004543304443,0,30,180,0.0,"{""type"":""Point"",""coordinates"":[76.50895751082125,19.97687378455795]}"
2,480.0,-31.014991760253906,-25.042621612548828,5.972370624542236,0,60,180,0.0,"{""type"":""Point"",""coordinates"":[76.50895751082125,19.977145179528094]}"
3,480.0,-30.946557998657227,-24.995716094970703,5.950840950012207,0,90,180,0.0,"{""type"":""Point"",""coordinates"":[76.50895751082125,19.977416574498243]}"
4,480.0,-29.93979835510254,-25.453882217407227,4.485916614532471,0,120,180,0.0,"{""type"":""Point"",""coordinates"":[76.50895751082125,19.977687969468388]}"
5,480.0,-31.30889129638672,-25.92304801940918,5.385842800140381,0,150,180,0.0,"{""type"":""Point"",""coordinates"":[76.50895751082125,19.977959364438533]}"
6,480.0,-31.01192283630371,-24.91246795654297,6.099454879760742,0,180,180,0.0,"{""type"":""Point"",""coordinates"":[76.50895751082125,19.978230759408678]}"
7,480.0,-29.820720672607422,-25.71099090576172,4.109730243682861,0,210,180,0.0,"{""type"":""Point"",""coordinates"":[76.50895751082125,19.97850215437883]}"
8,480.0,-29.423307418823242,-25.44806671142578,3.975240468978882,0,240,180,0.0,"{""type"":""Point"",""coordinates"":[76.50895751082125,19.978773549348972]}"
9,480.0,-31.70572853088379,-25.547670364379883,6.158058166503906,0,270,180,0.0,"{""type"":""Point"",""coordinates"":[76.50895751082125,19.97904494431912]}"
10,480.0,-29.455053329467773,-24.76416778564453,4.6908860206604,0,300,180,0.0,"{""type"":""Point"",""coordinates"":[76.50895751082125,19.979316339289266]}"
11,480.0,-29.80110740661621,-24.307819366455078,5.493288516998291,0,330,180,0.0,"{""type"":""Point"",""coordinates"":[76.50895751082125,19.97958773425941]}"
12,480.0,-29.22701644897461,-24.552839279174805,4.674177169799805,0,360,180,0.0,"{""type"":""Point"",""coordinates"":[76.50895751082125,19.979859129229563]}"
13,480.0,-30.703510284423828,-24.352672576904297,6.3508381843566895,0,390,180,0.0,"{""type"":""Point"",""coordinates"":[76.50895751082125,19.980130524199705]}"
14,480.0,-28.906015396118164,-24.56698226928711,4.339033126831055,0,420,180,0.0,"{""type"":""Point"",""coordinates"":[76.50895751082125,19.98040191916985]}"
15,480.0,-30.972688674926758,-24.36993408203125,6.602753639221191,0,450,180,0.0,"{""type"":""Point"",""coordinates"":[76.50895751082125,19.980673314140002]}"
16,480.0,-29.4257755279541,-24.192466735839844,5.233308792114258,0,480,180,0.0,"{""type"":""Point"",""coordinates"":[76.50895751082125,19.980944709110148]}"
17,480.0,-27.79778289794922,-24.064027786254883,3.733755350112915,0,510,180,0.0,"{""type"":""Point"",""coordinates"":[76.50895751082125,19.981216104080293]}"
18,480.0,-29.56036376953125,-23.751911163330078,5.80845308303833,0,540,180,0.0,"{""type"":""Point"",""coordinates"":[76.50895751082125,19.981487499050434]}"
19,480.0,-26.559307098388672,-21.260103225708008,5.299203872680664,0,570,180,9.078368147560948,"{""type"":""Point"",""coordinates"":[76.50895751082125,19.981758894020587]}"
