system:index,DEM,VH,VV,VV_VH_diff,azimuth,distance_m,hillshade,slope,.geo
0,327.0,-27.687543869018555,-22.533245086669922,5.154298305511475,0,0,180,0.0,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.171587919282207]}"
1,327.0,-28.636940002441406,-23.100980758666992,5.535959243774414,0,30,180,0.0,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.17131652431206]}"
2,327.0,-27.592805862426758,-21.6883487701416,5.904456615447998,0,60,190,3.033547884433311,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.171045129341906]}"
3,327.0,-27.103120803833008,-21.390268325805664,5.71285343170166,0,90,190,3.033543207593654,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.170773734371764]}"
4,327.0,-27.42482566833496,-19.67658233642578,7.748243808746338,0,120,190,3.033538530820945,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.170502339401615]}"
5,327.0,-20.430706024169922,-12.610344886779785,7.820361137390137,0,150,199,8.524686618808419,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.17023094443147]}"
6,329.0,-19.619314193725586,-12.037063598632812,7.582250118255615,0,180,190,3.0335276186116373,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.16995954946133]}"
7,330.0,-19.178194046020508,-12.422115325927734,6.756079196929932,0,210,190,3.033522942062085,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.169688154491176]}"
8,331.0,-19.26887321472168,-13.410852432250977,5.858020782470703,0,240,180,0.0,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.169416759521027]}"
9,331.0,-18.545433044433594,-12.700199127197266,5.845234394073486,0,270,190,3.0335135891638165,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.169145364550882]}"
10,330.0,-17.27476692199707,-12.648181915283203,4.626585006713867,0,300,199,6.050102730808146,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.168873969580734]}"
11,333.0,-17.43619155883789,-11.605215072631836,5.830975532531738,0,330,190,3.03350267778762,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.168602574610595]}"
12,340.0,-16.709468841552734,-10.328697204589844,6.380772113800049,0,360,251,22.974634139170327,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.16833117964044]}"
13,353.0,-16.16576385498047,-10.1618070602417,6.003957271575928,0,390,226,14.840613378483072,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.168059784670294]}"
14,367.0,-16.212596893310547,-9.225968360900879,6.986627578735352,0,420,209,9.033378236269183,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.16778838970015]}"
15,374.0,-19.856101989746094,-13.077718734741211,6.778382301330566,0,450,190,3.0334824147702544,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.167516994730004]}"
16,372.0,-18.984710693359375,-12.7753267288208,6.209383964538574,0,480,171,3.033477738867846,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.167245599759863]}"
17,367.0,-21.580461502075195,-15.541027069091797,6.03943395614624,0,510,171,3.0334730630323827,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.166974204789707]}"
18,367.0,-19.896717071533203,-14.46119213104248,5.435524940490723,0,540,180,0.0,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.16670280981957]}"
19,368.0,-19.691024780273438,-14.566398620605469,5.124626636505127,0,570,180,3.0334637115005454,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.16643141484942]}"
20,368.0,-19.418426513671875,-14.293776512145996,5.124650955200195,0,600,171,3.0334574773976666,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.16616001987927]}"
21,366.0,-20.178403854370117,-14.336518287658691,5.8418869972229,0,630,161,6.049994535413055,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.165888624909126]}"
22,363.0,-21.711212158203125,-15.481532096862793,6.229679107666016,0,660,180,9.03325933104569,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.16561722993898]}"
23,361.0,-21.718605041503906,-15.852753639221191,5.86584997177124,0,690,190,6.757818451194158,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.165345834968836]}"
24,360.0,-21.681987762451172,-14.9324951171875,6.749492645263672,0,720,190,4.285930977950404,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.165074439998687]}"
25,359.0,-21.316532135009766,-15.534212112426758,5.782320499420166,0,750,180,0.0,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.16480304502854]}"
26,358.0,-22.28428840637207,-15.6573486328125,6.6269402503967285,0,780,199,6.757783989429559,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.164531650058393]}"
27,358.0,-23.221391677856445,-16.538209915161133,6.683181285858154,0,810,199,6.049935808324605,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.164260255088244]}"
28,358.0,-23.95754623413086,-17.163728713989258,6.793816566467285,0,840,190,3.0334185165651415,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.1639888601181]}"
29,358.0,-24.18724250793457,-16.959505081176758,7.2277374267578125,0,870,190,4.285895814256832,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.163717465147958]}"
30,358.0,-23.288312911987305,-17.13359832763672,6.154715061187744,0,900,180,3.033407608700525,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.163446070177805]}"
31,359.0,-22.342985153198242,-15.414595603942871,6.928390026092529,0,930,180,3.03340293357662,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.16317467520766]}"
32,359.0,-23.610841751098633,-15.912230491638184,7.698610305786133,0,960,171,3.0333982587694797,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.162903280237515]}"
33,359.0,-23.807085037231445,-15.980660438537598,7.826424598693848,0,990,171,4.285867245914033,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.162631885267366]}"
34,358.0,-21.915721893310547,-16.274168014526367,5.641554832458496,0,1020,171,3.033388909441613,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.16236049029722]}"
35,359.0,-22.01457405090332,-16.09742546081543,5.917149066925049,0,1050,161,6.75768406074502,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.162089095327072]}"
36,359.0,-21.64872932434082,-16.030014038085938,5.618715286254883,0,1080,161,6.04984618249162,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.161817700356927]}"
